accession_number	scientific_name	common_name	building	life_form	media_count
2011-0457A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	3
2011-0465A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	3
2011-0448A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	2
2011-0454A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	3
2011-0453A	Ulmus americana	American Elm,White Elm	NPG	Deciduous tree	2
2011-0452A	Ulmus americana	American Elm,White Elm	NPG	Deciduous tree	2
2011-0460A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	3
2011-0461A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	3
2011-0455A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	3
2011-0458A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	3
2011-0456A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	3
2011-0459A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NPG	Deciduous tree	3
2011-0528A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	7
2011-0532A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	3
2011-0613A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	5
2011-0726A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAH	Deciduous tree	11
2011-0761A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	3
2011-0765A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAH	Deciduous tree	3
2011-0766A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	3
2011-0729A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	3
2011-0767A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	4
2011-0769A	Ulmus americana	American Elm,White Elm	NMAH	Deciduous tree	2
2011-0768A	Ulmus americana	American Elm,White Elm	NMAH	Deciduous tree	3
2011-0762A	Ulmus americana 'Delaware'	American Elm cultivar	NMAH	Deciduous tree	3
2011-0703A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	7
2011-0763A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	5
2011-0813A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	2
2011-0839A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	3
2011-0727A	Ulmus americana 'Delaware'	American Elm cultivar	NMAH	Deciduous tree	14
2011-0853A	Ulmus americana 'Valley Forge'	American Elm cultivar	NMAH	Deciduous tree	15
2011-0910A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	4
