accession_number	scientific_name	common_name	building	life_form	media_count
2011-1495A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	2
2011-1479A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	10
2011-1485A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	4
2011-1506A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	3
2011-1507A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	1
2011-1508A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	3
2011-1461A	Hamamelis virginiana	Winter Bloom,Common Witch-Hazel,Virginian Witch Hazel,Spotted Alder,American Witch Hazel,Snapping Hazel Nut	NMAI DC	Deciduous shrub/sub-shrub	3
2011-1515A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	4
2011-1514A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	2
2011-1510A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	1
2011-2629A	Gleditsia triacanthos var. inermis	Thornless Honey Locust	HMSG	Deciduous tree	3
2011-2630A	Gleditsia triacanthos var. inermis	Thornless Honey Locust	HMSG	Deciduous tree	8
2011-2726A	Cercis canadensis	Judas Tree,Eastern Redbud		Deciduous tree	1
2011-2759A	Acer rubrum	Red Maple,Swamp Maple,Scarlet Maple,Canadian Maple		Deciduous tree	1
2011-2787A	Amelanchier arborea	Sarvis-berry,Shadblow,Sugarplum,Sarviss Tree,Indian Cherry,Juneberry,Common Serviceberry,Shadbush		Deciduous tree	1
2011-2719A	Crataegus sp.	hawthorn		Deciduous tree	2
2011-2827A	Acer rubrum	Red Maple,Swamp Maple,Scarlet Maple,Canadian Maple		Deciduous tree	1
2011-2767A	Acer rubrum	Red Maple,Swamp Maple,Scarlet Maple,Canadian Maple		Deciduous tree	2
2011-2906A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2909A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2883A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry		Deciduous tree	1
2011-2910A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2789A	Amelanchier arborea	Sarvis-berry,Shadblow,Sugarplum,Sarviss Tree,Indian Cherry,Juneberry,Common Serviceberry,Shadbush		Deciduous tree	6
2011-2935A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2826A	Acer rubrum	Red Maple,Swamp Maple,Scarlet Maple,Canadian Maple		Deciduous tree	1
2011-2973A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2978A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2955A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2977A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2776A	Acer rubrum	Red Maple,Swamp Maple,Scarlet Maple,Canadian Maple		Deciduous tree	1
2011-2881A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry		Deciduous tree	1
2011-2872A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry		Deciduous tree	1
2011-2956A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2938A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2966A	Ailanthus altissima	Tree of Heaven,Paradise Tree,Ailanthus,Copal Tree,Stink Tree,Stinking Sumac,Chinese Sumac,Varnish Tree		Deciduous tree	6
2011-2916A	Crataegus sp.	hawthorn		Deciduous tree	1
2011-2930A	Catalpa speciosa	Catawba,Catalpa,Northern Catalpa,Cigartree		Deciduous tree	1
2011-2825A	Acer rubrum	Red Maple,Swamp Maple,Scarlet Maple,Canadian Maple		Deciduous tree	1
2011-2860A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry		Deciduous tree	1
2011-2975A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2915A	Crataegus sp.	hawthorn		Deciduous tree	6
2011-2937A	Catalpa speciosa	Catawba,Catalpa,Northern Catalpa,Cigartree		Deciduous tree	1
2011-2864A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry		Deciduous tree	1
2011-2939A	Catalpa speciosa	Catawba,Catalpa,Northern Catalpa,Cigartree		Deciduous tree	1
2011-2971A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2954A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-3004A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	1
2011-2972A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2011-2974A	Cladrastis kentukea	Kentucky yellowwood,Yellow Ash,Yellowwood,Virgilia		Deciduous tree	1
2012-1383A	Camellia japonica	Japanese Rose,Camellia,Common Camellia,Rose Camellia	NMAH	Evergreen shrub/sub-shrub	3
2012-1406A	Taxodium distichum 'Mickelson' Shawnee Brave	Bald Cypress Cultivar	NMAH	Deciduous tree	6
2012-1419A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1415A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1417A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1411A	Magnolia × soulangeana	Chinese Magnolia,Saucer Magnolia		Deciduous tree	3
2012-1421A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1427A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1423A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1425A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1424A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1414A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	4
2012-1416A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	2
2012-1429A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	2
2012-1422A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1426A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1405A	Taxodium distichum 'Mickelson' Shawnee Brave	Bald Cypress Cultivar	NMAH	Deciduous tree	4
2012-1418A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1428A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1454A	Cercis canadensis 'Hearts of Gold'	Hearts of Gold Eastern Redbud	NMNH	Deciduous tree	14
2012-1420A	Chamaecyparis obtusa	Hinoki False Cypress	HMSG	Evergreen tree	3
2012-1455A	Aesculus × carnea 'Fort McNair'	Flowering Horse Chestnut,Red Horse Chestnut	NMNH	Deciduous tree	18
2013-0639A	Ulmus davidiana var. japonica 'Morton' Accolade	Accolade Elm	NMNH	Deciduous tree	11
2013-0627A	Chamaecyparis pisifera 'Filifera Aurea'	Sawara Cypress,Japanese Falsecypress,Golden Thread-leaf Sawara Cypress	NASM	Evergreen tree	14
2013-0654A	Lagerstroemia indica	Crepe Flower,Crape Myrtle,Crepe Myrtle	NMAH	Deciduous tree	3
2013-0659A	Gleditsia triacanthos var. inermis	Thornless Honey Locust	HMSG	Deciduous tree	3
2013-0635A	Abies koreana	Korean Fir	NASM	Evergreen tree	14
2013-0634A	Abies koreana	Korean Fir	NASM	Evergreen tree	10
2013-0622A	Ginkgo biloba 'Princeton Sentry'	Maidenhair Tree,Princeton Sentry Ginkgo	Freer	Deciduous tree	4
2013-0638A	Cercis canadensis 'Forest Pansy'	Forest Pansy Eastern Redbud	NASM	Deciduous tree	9
2013-0625A	Chamaecyparis obtusa	Hinoki False Cypress	NASM	Evergreen tree	10
2013-0655A	Lagerstroemia indica	Crepe Flower,Crape Myrtle,Crepe Myrtle	NMAH	Deciduous tree	3
2014-1246A	Betula nigra 'BNMTF' Dura Heat	Black Birch,River Birch,Red Birch	NMNH	Deciduous tree	5
2014-1245A	Betula nigra 'BNMTF' Dura Heat	Black Birch,River Birch,Red Birch	NMNH	Deciduous tree	12
2014-1253A	Cornus florida 'Jean's Appalachian Snow'	Jean's Appalachian Snow Flowering Dogwood,American boxwood	NMNH	Deciduous tree	22
2014-1244A	Betula nigra 'BNMTF' Dura Heat	Black Birch,River Birch,Red Birch	NMNH	Deciduous tree	6
2015-2164A	Juniperus chinensis 'Hetzii Columnar'	Chinese juniper,Green Columnar Juniper	NASM	Evergreen tree	8
2015-2163A	Juniperus chinensis 'Hetzii Columnar'	Chinese juniper,Green Columnar Juniper	NASM	Evergreen tree	10
2015-2189A	Chamaecyparis obtusa	Hinoki False Cypress		Evergreen tree	2
2015-2190A	Chamaecyparis obtusa	Hinoki False Cypress		Evergreen tree	2
2015-2188A	Chamaecyparis obtusa	Hinoki False Cypress		Evergreen tree	2
2015-2193A	Cercis chinensis 'Don Egolf'	Cultivar of Chinese Redbud		Deciduous shrub/sub-shrub	15
2015-2187A	Chamaecyparis obtusa	Hinoki False Cypress		Evergreen tree	3
2015-2197A	Halesia monticola var. vestita	Silverbell Tree,Carolina Silverbell,Mountain Silverbell		Deciduous tree	7
2015-2201A	Halesia monticola var. vestita	Silverbell Tree,Carolina Silverbell,Mountain Silverbell		Deciduous tree	3
2015-2203A	Halesia monticola var. vestita	Silverbell Tree,Carolina Silverbell,Mountain Silverbell		Deciduous tree	5
2015-2200A	Halesia monticola var. vestita	Silverbell Tree,Carolina Silverbell,Mountain Silverbell		Deciduous tree	4
2015-2205A	Halesia monticola var. vestita	Silverbell Tree,Carolina Silverbell,Mountain Silverbell		Deciduous tree	4
2015-2196A	Halesia monticola var. vestita	Silverbell Tree,Carolina Silverbell,Mountain Silverbell		Deciduous tree	7
2015-2198A	Halesia monticola var. vestita	Silverbell Tree,Carolina Silverbell,Mountain Silverbell		Deciduous tree	4
2015-2202A	Halesia monticola var. vestita	Silverbell Tree,Carolina Silverbell,Mountain Silverbell		Deciduous tree	4
2015-2211A	Halesia monticola var. vestita	Silverbell Tree,Carolina Silverbell,Mountain Silverbell		Deciduous tree	4
2015-2209A	Halesia monticola var. vestita	Silverbell Tree,Carolina Silverbell,Mountain Silverbell		Deciduous tree	4
2015-2220A	Bucida buceras 'Shady Lady'	Shady Lady Black Olive	NPG	Evergreen tree	1
2017-0348A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm		Deciduous tree	5
2017-0355A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm		Deciduous tree	4
2017-0351A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm		Deciduous tree	4
2017-0363A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	5
2017-0357A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm		Deciduous tree	3
2017-0360A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0365A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0371A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0354A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm		Deciduous tree	4
2017-0362A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0378A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0358A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0367A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0366A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	10
2017-0364A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0349A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm		Deciduous tree	4
2017-0373A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0370A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0353A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm		Deciduous tree	4
2017-0374A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0359A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0361A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0390A	Prunus × yedoensis	Yoshino cherry,Tokyo cherry,Potomac cherry		Deciduous tree	10
2017-0368A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0372A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0375A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0393A	Cornus kousa 'Triple Crown'	Kousa Dogwood Cultivar		Deciduous tree	4
2017-0376A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0377A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	7
2017-0407A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	5
2017-0408A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	5
2017-0411A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	8
2017-0410A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	5
2017-0412A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2017-0415A	Fagus sylvatica 'Riversii'	River's Purple European Beech,European Beech Cultivar		Deciduous tree	11
2017-0424A	Chionanthus virginicus	Poison ash,Virginian Snow Flower,Old Man's Beard,Fringetree		Deciduous tree	4
2017-0427A	Sassafras albidum	Mitten Tree,Sassafras,Ague Tree		Deciduous tree	7
2017-0433A	Prunus × yedoensis	Yoshino cherry,Tokyo cherry,Potomac cherry		Deciduous tree	5
2017-0430A	Chionanthus virginicus	Poison ash,Virginian Snow Flower,Old Man's Beard,Fringetree		Deciduous tree	4
2017-0419A	Magnolia kobus 'Wada's Memory'	Kobus Magnolia Cultivar		Deciduous tree	4
2017-0397A	Prunus × yedoensis	Yoshino cherry,Tokyo cherry,Potomac cherry		Deciduous tree	5
2017-0432A	Chionanthus virginicus	Poison ash,Virginian Snow Flower,Old Man's Beard,Fringetree		Deciduous tree	4
2017-0428A	Sassafras albidum	Mitten Tree,Sassafras,Ague Tree		Deciduous tree	13
2017-0409A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	5
2017-0441A	Prunus × yedoensis	Yoshino cherry,Tokyo cherry,Potomac cherry		Deciduous tree	5
2017-0468A	Magnolia kobus 'Wada's Memory'	Kobus Magnolia Cultivar		Deciduous tree	3
2017-0473A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	2
2017-0467A	Cornus 'KN30-8' VENUS	Hybrid Dogwood		Deciduous tree	7
2017-0472A	Prunus × yedoensis	Yoshino cherry,Tokyo cherry,Potomac cherry		Deciduous tree	3
2017-0439A	Prunus × yedoensis	Yoshino cherry,Tokyo cherry,Potomac cherry		Deciduous tree	5
2017-0462A	Cornus 'KN30-8' VENUS	Hybrid Dogwood		Deciduous tree	4
2017-0436A	Prunus × yedoensis	Yoshino cherry,Tokyo cherry,Potomac cherry		Deciduous tree	5
2017-0479A	Viburnum prunifolium	Blackhaw Viburnum,Plum Leaf Viburnum,Black Haw	NMAI DC	Deciduous shrub/sub-shrub	11
2017-0490A	Asimina triloba	Hoosier Banana,Papaw,Michigan Banana,Pawpaw,Nebraska Banana,Custard Banana,Indiana Banana,Pawpaw apple,White Plum,Poor Man's Banana,False Banana,Custard Apple	NMAI DC	Deciduous tree	12
2017-0489A	Asimina triloba	Hoosier Banana,Papaw,Michigan Banana,Pawpaw,Nebraska Banana,Custard Banana,Indiana Banana,Pawpaw apple,White Plum,Poor Man's Banana,False Banana,Custard Apple	NMAI DC	Deciduous tree	8
2017-0470A	Prunus × yedoensis	Yoshino cherry,Tokyo cherry,Potomac cherry		Deciduous tree	3
2017-0481A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	8
2018-0006A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	3
2017-0563A	Carya glabra	Swamp Hickory,Broom Hickory,Pignut Hickory	NMAI DC	Deciduous tree	2
2018-0007A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	3
2018-0023A	Zelkova serrata 'Green Vase'	Zelkova cultivar	NASM	Deciduous tree	1
2018-0004A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	3
2018-0027A	Ulmus × 'Patriot'	Hybrid Elm Cultivar,Patriot Elm		Deciduous tree	4
2018-0005A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	3
2018-0083A	Cornus 'KN30-8' VENUS	Hybrid Dogwood		Deciduous tree	6
2018-0008A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	3
2018-0009A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	3
2018-0035A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	HMSG	Deciduous tree	3
2018-0037A	Ulmus americana 'Jefferson'	American Elm cultivar	NMAH	Deciduous tree	6
2018-0753A	Chionanthus virginicus	Poison ash,Virginian Snow Flower,Old Man's Beard,Fringetree	NMAI DC	Deciduous tree	1
2018-0770A	Betula nigra 'BNMTF' Dura Heat	Black Birch,River Birch,Red Birch		Deciduous tree	2
2018-0807A	Bucida buceras 'Shady Lady'	Shady Lady Black Olive	NPG	Evergreen tree	3
2018-0752A	Chionanthus virginicus	Poison ash,Virginian Snow Flower,Old Man's Beard,Fringetree	NMAI DC	Deciduous tree	1
2018-0762A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine	NMNH	Evergreen tree	1
2018-0771A	Betula nigra 'BNMTF' Dura Heat	Black Birch,River Birch,Red Birch		Deciduous tree	2
2018-0808A	Betula papyrifera 'Renaissance Oasis'	Renaissance Oasis Paper Birch,Renaissance Oasis Birch,Oasis Paper Birch		Deciduous tree	10
2018-0772A	Betula nigra 'BNMTF' Dura Heat	Black Birch,River Birch,Red Birch		Deciduous tree	2
2018-1070A	Prunus serrulata 'Kanzan'	Kwanzan Cherry,Kanzan Cherry,Cultivar of Oriental Cherry	NMAH	Deciduous tree	3
2018-1140A	Bucida buceras 'Shady Lady'	Shady Lady Black Olive	NPG	Evergreen tree	2
2018-1130A	Taxodium distichum 'Mickelson' Shawnee Brave	Bald Cypress Cultivar	NMAH	Deciduous tree	2
2018-1139A	Bucida buceras 'Shady Lady'	Shady Lady Black Olive	NPG	Evergreen tree	2
2018-1131A	Taxodium distichum 'Mickelson' Shawnee Brave	Bald Cypress Cultivar	NMAH	Deciduous tree	2
2019-0134A	Cornus florida	Flowering Dogwood,Florida Dogwood,White Cornel,Corona de San Pedro,Arrowwood	NMAI DC	Deciduous tree	3
2019-0143A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine		Evergreen tree	3
2019-0137A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine		Evergreen tree	4
2019-0140A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine		Evergreen tree	6
2019-0141A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine		Evergreen tree	3
2019-0146A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine		Evergreen tree	3
2019-0138A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine		Evergreen tree	4
2019-0142A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine		Evergreen tree	3
2019-0139A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine		Evergreen tree	3
2019-0145A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine		Evergreen tree	3
2019-0147A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine		Evergreen tree	2
2019-0149A	Pinus palustris	Longleaf Pine,Longleaf Yellow Pine,Southern Yellow Pine		Evergreen tree	2
2019-0267A	Quercus texana 'QNFTA' HIGHPOINT	Texas Red Oak cultivar		Deciduous tree	1
2015-2194A	Davidia involucrata 'Sonoma'	Dove Tree,Handkerchief Tree		Deciduous tree	17
2011-0439A	Fagus sylvatica 'Pendula'	Weeping European Beech	NPG	Deciduous tree	14
2011-0517A	Fagus sylvatica 'Pendula'	Weeping European Beech		Deciduous tree	10
2011-2633A	Gleditsia triacanthos var. inermis	Thornless Honey Locust	HMSG	Deciduous tree	4
2011-2632A	Gleditsia triacanthos var. inermis	Thornless Honey Locust	HMSG	Deciduous tree	7
2011-2684A	Gleditsia triacanthos var. inermis	Thornless Honey Locust		Deciduous tree	2
2011-2685A	Gleditsia triacanthos var. inermis	Thornless Honey Locust		Deciduous tree	2
2011-2631A	Gleditsia triacanthos var. inermis	Thornless Honey Locust	HMSG	Deciduous tree	5
2012-1486A	Ginkgo biloba 'Magyar'	Maidenhair Tree,Magyar Ginkgo	NPG	Deciduous tree	5
2012-1487A	Ginkgo biloba 'Magyar'	Maidenhair Tree,Magyar Ginkgo	NPG	Deciduous tree	3
2013-0617A	Ginkgo biloba 'Princeton Sentry'	Maidenhair Tree,Princeton Sentry Ginkgo	Freer	Deciduous tree	12
2012-1488A	Ginkgo biloba 'Magyar'	Maidenhair Tree,Magyar Ginkgo	NPG	Deciduous tree	9
2013-0620A	Ginkgo biloba 'Princeton Sentry'	Maidenhair Tree,Princeton Sentry Ginkgo	Freer	Deciduous tree	5
2013-0619A	Ginkgo biloba 'Princeton Sentry'	Maidenhair Tree,Princeton Sentry Ginkgo	Freer	Deciduous tree	6
2013-0621A	Ginkgo biloba 'Princeton Sentry'	Maidenhair Tree,Princeton Sentry Ginkgo	Freer	Deciduous tree	4
2012-1485A	Ginkgo biloba 'Magyar'	Maidenhair Tree,Magyar Ginkgo	NPG	Deciduous tree	6
2015-2169A	Gleditsia triacanthos var. inermis	Thornless Honey Locust	HMSG	Deciduous tree	3
2018-0028A	Gleditsia triacanthos var. inermis 'Skycole' Skyline	Skyline Thornless Honeylocust	HMSG	Deciduous tree	5
2018-1142A	Ginkgo biloba 'Magyar'	Maidenhair Tree,Magyar Ginkgo	NPG	Deciduous tree	4
2018-1143A	Ginkgo biloba 'Magyar'	Maidenhair Tree,Magyar Ginkgo	NPG	Deciduous tree	3
2011-0236A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0247A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0235A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	3
2011-0250A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0241A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0238A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0243A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0244A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0253A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0246A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0259A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0249A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0248A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0245A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0255A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0264A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0266A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0260A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0239A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0258A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0261A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0265A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0275A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0269A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0270A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0271A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0240A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0282A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0272A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0277A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0237A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0276A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0242A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0256A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0257A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0281A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0285A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0251A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0252A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0267A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0284A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
2011-0254A	Ilex opaca	American Holly,White Holly	HMSG	Evergreen tree	2
