width	height	ids_id
		SG-2017-0471A-SUM-HL-000002
		SG-2017-0471A-WIN-HL
1333.0	2000.0	SG-2017-0471A-BAR-HL-000002
2000.0	1333.0	SG-2011-2714A-SUM1-HL
2000.0	1333.0	SG-2011-2714A-WIN1-HL
1333.0	2000.0	SG-2011-2738A-FAL1-HL
1333.0	2000.0	SG-2011-2738A-WIN1-HL
1999.0	1333.0	SG-2011-2665A-SUM1-HL
2000.0	1333.0	SG-2011-2665A-WIN1-HL
1333.0	2000.0	SG-2011-2713A-SUM1-HL
1333.0	2000.0	SG-2011-2713A-WIN1-HL
2000.0	1333.0	SG-2017-0482A-SNP1-HL
1333.0	2000.0	SG-2017-0482A-STE1-HL
1333.0	2000.0	SG-2017-0482A-FLO2-HL
1333.0	2000.0	SG-2017-0482A-LEF1-HL
2000.0	1333.0	SG-2017-0482A-LEF2-HL
		SG-2017-0482A-BAR1-HL
1333.0	2000.0	SG-2017-0482A-FAL1-HL
		SG-2017-0482A-BAR2-HL
2000.0	1333.0	SG-2017-0482A-BUD4-HL
2000.0	1333.0	SG-2017-0482A-STE5-HL
2000.0	1333.0	SG-2017-0482A-LEB1-HL
1333.0	2000.0	SG-2017-0482A-STE4-HL
1333.0	2000.0	SG-2017-0482A-BUD1-HL
2000.0	1334.0	SG-2017-0482A-BUD2-HL
		SG-2017-0482A-FLO1-HL
2000.0	1333.0	SG-2017-0482A-BUD3-HL
		SG-2017-0482A-STE3-HL
1333.0	2000.0	SG-2011-0110A-WIN-HL
1333.0	2000.0	SG-2011-0110A-FAL1-HL
1333.0	1999.0	SG-2011-0110A-SPR1-HL
1334.0	2000.0	SG-2011-0110A-SUM1-HL
		SG-2011-0601A-SUM1-HL
1333.0	2000.0	SG-2011-0601A-FAL1-HL-000003
		SG-2011-0601A-WIN2-HL
1333.0	2000.0	SG-2011-0601A-SPR1-HL
1333.0	2000.0	SG-2011-0601A-BUD-HL
2000.0	1333.0	SG-2011-0601A-LEF1-HL
1333.0	2000.0	SG-2011-0601A-BAR1-HL
1333.0	2000.0	SG-2011-0601A-WIN1-HL
1334.0	2000.0	SG-2011-0601A-LEB-HL
2000.0	1334.0	SG-2011-0601A-LEF2-HL
		SG-2011-0601A-STE2-HL
1333.0	1999.0	SG-2011-0601A-STE3-HL
1333.0	2000.0	SG-2011-0601A-FRU-HL
		SG-2011-0601A-STE4-HL
1333.0	1999.0	SG-2011-0601A-STE5-HL
		SG-2011-0601A-BAR2-HL
1333.0	2000.0	SG-2011-0113A-FAL1-HL
1333.0	2000.0	SG-2011-0113A-SPR1-HL
1334.0	2000.0	SG-2011-0113A-SUM1-HL
2000.0	1333.0	SG-2011-0113A-BAR2-HL
1333.0	2000.0	SG-2011-0999A-FAL1-HL
1333.0	2000.0	SG-2011-0999A-WIN1-HL
1334.0	2000.0	SG-2011-1001A-FAL1-HL
1333.0	2000.0	SG-2011-1001A-WIN1-HL
1333.0	2000.0	SG-2011-1001A-BAR1-HL
2000.0	1333.0	SG-2011-0728A-BAR2-HL
1333.0	2000.0	SG-2011-0728A-BUD2-HL
1333.0	2000.0	SG-2011-0728A-FAL1-HL
1334.0	2000.0	SG-2011-0728A-SUM1-HL
1333.0	1999.0	SG-2011-0728A-WIN1-HL
2000.0	1333.0	SG-2011-0728A-SNP1-HL
1999.0	1333.0	SG-2011-0728A-BUD1-HL
1333.0	2000.0	SG-2011-0728A-BAR1-HL
1333.0	2000.0	SG-2011-0704A-SUM1-HL
1333.0	2000.0	SG-2011-0704A-FAL1-HL
1334.0	2000.0	SG-2011-0704A-WIN1-HL
1333.0	2000.0	SG-2011-0704A-BAR2-HL
		SG-2011-0704A-BAR3-HL
1333.0	2000.0	SG-2011-0704A-FLO1-HL
2000.0	1333.0	SG-2011-0704A-LEF1-HL
2000.0	1333.0	SG-2011-0704A-LEB1-HL
1333.0	2000.0	SG-2011-0704A-STE2-HL
2000.0	1334.0	SG-2011-0704A-BUD1-HL
1999.0	1333.0	SG-2011-0704A-BUD2-HL
2000.0	1333.0	SG-2011-0704A-SNP1-HL
1334.0	2000.0	SG-2011-0704A-SNP2-HL
1333.0	2000.0	SG-2011-0704A-STE1-HL
2000.0	1333.0	SG-2011-0704A-STE3-HL
1334.0	2000.0	SG-2011-0704A-BAR1-HL
2000.0	1333.0	SG-2011-0425A-FRU1-HL
2000.0	1333.0	SG-2011-0425A-SUM1-HL
1333.0	2000.0	SG-2011-0425A-FAL1-HL
2000.0	1333.0	SG-2011-0425A-WIN-HL
2000.0	1334.0	SG-2011-0425A-BUD1-HL
1333.0	2000.0	SG-2011-0425A-LEF1-HL
2000.0	1333.0	SG-2011-0425A-SNP1-HL
2000.0	1333.0	SG-2011-0425A-FRU2-HL
1333.0	2000.0	SG-2011-0425A-BAR1-HL
2000.0	1333.0	SG-2011-0425A-LEB1-HL
1333.0	1999.0	SG-2011-0425A-STE1-HL
1333.0	1999.0	SG-2011-0425A-STE2-HL
1333.0	1999.0	SG-2011-0425A-STE3-HL
1333.0	2000.0	SG-2011-0425A-BAR2-HL
1333.0	2000.0	SG-2011-1283A-SUM1-HL
1333.0	2000.0	SG-2011-1283A-FAL1-HL
1333.0	2000.0	SG-2011-1283A-WIN1-HL
2000.0	1333.0	SG-2011-0418A-LEF2-HL
1334.0	2000.0	SG-2011-0418A-SUM1-HL
1333.0	2000.0	SG-2011-0418A-FAL1-HL
1333.0	2000.0	SG-2011-0418A-WIN-HL
1334.0	2000.0	SG-2011-0418A-LEF1-HL
2000.0	1333.0	SG-2011-0418A-FRU1-HL
		SG-2011-0418A-BAR1-HL
1333.0	2000.0	SG-2011-0418A-LEB1-HL
2000.0	1334.0	SG-2011-0418A-FRU2-HL
		SG-2011-0418A-STE1-HL
1334.0	2000.0	SG-2011-0418A-STE3-HL
1333.0	1999.0	SG-2011-0418A-STE4-HL
1333.0	2000.0	SG-2011-0418A-STE2-HL
2000.0	1334.0	SG-2011-0418A-BAR2-HL
1333.0	1999.0	SG-2011-1284A-SUM1-HL
		SG-2011-1284A-WIN1-HL
1333.0	2000.0	SG-2011-1284A-FAL1-HL
2000.0	1334.0	SG-2011-1327A-SNP1-HL
2000.0	1334.0	SG-2011-1327A-SUM1-HL
		SG-2011-1327A-FAL1-HL
2000.0	1333.0	SG-2011-1327A-WIN1-HL
		SG-2011-1327A-SPR1-HL
1333.0	2000.0	SG-2011-1327A-CON3-HL
1333.0	2000.0	SG-2011-1327A-LEF1-HL
1333.0	1999.0	SG-2011-1327A-CON1-HL
		SG-2011-1327A-BAR1-HL
2000.0	1333.0	SG-2011-1327A-CON2-HL
		SG-2011-1327A-LEB1-HL
1333.0	2000.0	SG-2011-1327A-STE3-HL
1333.0	2000.0	SG-2011-1327A-STE5-HL
1334.0	2000.0	SG-2011-1327A-STE6-HL
1333.0	2000.0	SG-2011-1327A-STE4-HL
1333.0	1999.0	SG-2011-1328A-SPR2-HL
1334.0	2000.0	SG-2011-1328A-SUM1-HL
1333.0	1999.0	SG-2011-1328A-WIN1-HL
